WKT,OBJEKTART,ICC,NAME
"POLYGON ((8.97567850259283 45.961629092309906,8.958543647160338 45.964816404770495,8.977250701136216 45.983037326796207,8.97567850259283 45.961629092309906))",Land,IT,Italia
"POLYGON ((9.607061591938722 47.060769852402572,10.10515933223661 46.840902386415038,10.489348501881418 46.937785341037312,10.383569274708059 46.68728219973579,10.47224843401243 46.543530195903401,10.127654166644074 46.605080541533596,9.907405137118587 46.380912138710791,9.533281424000409 46.312665581608634,9.463558813254421 46.508871566268809,9.281797372355026 46.496035274631389,9.28485847231874 46.297049582472816,8.988850056714995 45.970404892279312,9.031397843039523 45.820842104851017,8.611835766031518 46.121658878997955,8.366935364304339 46.451921929495029,8.085927883418361 46.266617738332094,8.165043413116841 46.182879283431113,7.864075841516748 45.91674985918052,7.668269498818907 45.973817075025465,7.118453721081851 45.859441683081151,6.899934457635409 46.123879479501007,6.821076884461055 46.427155438683855,6.51911762981214 46.456367974660779,6.219551016993536 46.311884411243163,6.29467984456109 46.22515380804532,5.957381961955377 46.128550333967091,6.169927301516402 46.366083053922303,6.110472359748195 46.57643871105477,6.41934083728951 46.753137257864637,7.049936535134876 47.361430426192236,6.988280756378059 47.494849553857861,7.38558585943376 47.431862994455614,7.645677285616885 47.596961039712923,8.089769093490139 47.557800884508104,8.582576899501184 47.596139617840784,8.405596944112528 47.674184708767115,8.649605148184154 47.798461239588221,8.728023535806329 47.692761230985653,9.394713879779744 47.620326120569544,9.654421036350337 47.454248461548495,9.530732744364499 47.270575156300509,9.48575685372656 47.04908992701813,9.607061591938722 47.060769852402572),(8.97567850259283 45.961629092309906,8.977250701136216 45.983037326796207,8.958543647160338 45.964816404770495,8.97567850259283 45.961629092309906),(8.702127806917503 47.69187107474648,8.701286382221873 47.715189707035343,8.664664426409606 47.713361972279237,8.702127806917503 47.69187107474648))",Land,CH,Schweiz
"POLYGON ((9.607061591938722 47.060769852402572,9.48575685372656 47.04908992701813,9.530732744364499 47.270575156300509,9.607061591938722 47.060769852402572))",Land,LI,Liechtenstein
"POLYGON ((8.702127806917503 47.69187107474648,8.664664426409606 47.713361972279237,8.701286382221873 47.715189707035343,8.702127806917503 47.69187107474648))",Land,DE,Deutschland
